operation,size,time_ms
insert,1000,0.3006
insert,10000,3.4023
insert,100000,49.1786
insert,1000000,1088.71
search,1000,0.152
search,10000,0.2226
search,100000,0.4331
search,1000000,0.9018
traversal_klp,1000,0.0565
traversal_kpl,1000,0.0513
traversal_lpk,1000,0.0459
traversal_lkp,1000,0.0455
traversal_klp,10000,0.4087
traversal_kpl,10000,0.3978
traversal_lpk,10000,0.4453
traversal_lkp,10000,0.4479
traversal_klp,100000,4.2672
traversal_kpl,100000,3.89
traversal_lpk,100000,4.2939
traversal_lkp,100000,4.4588
map,1000,0.1826
map,10000,1.2319
map,100000,42.109
where,1000,0.3312
where,10000,1.1805
where,100000,14.9788
balance,1000,0.1869
balance,10000,2.6809
